[22:13:17] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:13:19] [ServerMain/INFO]: Loaded 7 recipes
[22:13:19] [ServerMain/INFO]: Loaded 1271 advancements
[22:13:19] [Server thread/INFO]: Starting minecraft server version 1.20.1
[22:13:19] [Server thread/INFO]: Loading properties
[22:13:19] [Server thread/INFO]: Default game type: SURVIVAL
[22:13:19] [Server thread/INFO]: Generating keypair
[22:13:19] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:13:19] [Server thread/INFO]: Using epoll channel type
[22:13:20] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[22:13:20] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[22:13:20] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[22:13:20] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[22:13:20] [Server thread/INFO]: Preparing level "world"
[22:13:26] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:13:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:13:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:13:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:13:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:13:28] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:13:28] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[22:13:29] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[22:13:29] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[22:13:30] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[22:13:30] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[22:13:31] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[22:13:31] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[22:13:32] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[22:13:32] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[22:13:33] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[22:13:33] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[22:13:34] [Worker-Main-1/INFO]: Preparing spawn area: 18%
[22:13:34] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[22:13:35] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[22:13:35] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[22:13:36] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[22:13:36] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[22:13:37] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[22:13:37] [Worker-Main-1/INFO]: Preparing spawn area: 36%
[22:13:38] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[22:13:38] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[22:13:39] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[22:13:39] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[22:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[22:13:40] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[22:13:41] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[22:13:41] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[22:13:42] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[22:13:42] [Worker-Main-3/INFO]: Preparing spawn area: 66%
[22:13:43] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[22:13:43] [Worker-Main-3/INFO]: Preparing spawn area: 71%
[22:13:44] [Worker-Main-3/INFO]: Preparing spawn area: 74%
[22:13:45] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[22:13:45] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[22:13:45] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[22:13:46] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[22:13:46] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[22:13:47] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[22:13:47] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[22:13:48] [Worker-Main-3/INFO]: Preparing spawn area: 92%
[22:13:48] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[22:13:49] [Worker-Main-2/INFO]: Preparing spawn area: 99%
[22:13:49] [Server thread/INFO]: Time elapsed: 23075 ms
[22:13:49] [Server thread/INFO]: Done (29.002s)! For help, type "help"
